;F_cens;P_cens;R_cens;F_mfcc;P_mfcc;R_mfcc;param;kernel_size
190;0.38095238095238093;0.25;0.8;0.42857142857142855;0.3333333333333333;0.6;(9, 4);20
191;0.2857142857142857;0.2222222222222222;0.4;0.5;0.42857142857142855;0.6;(21, 5);20
192;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);20
193;0.0;0.0;0.0;0.05263157894736842;0.027777777777777776;0.5;(9, 4);20
194;0.0;0.0;0.0;0.07142857142857144;0.038461538461538464;0.5;(21, 5);20
195;0.10256410256410257;0.05405405405405406;1.0;0.11764705882352941;0.0625;1.0;(9, 2);20
196;0.09523809523809525;0.05263157894736842;0.5;0.13333333333333336;0.07692307692307693;0.5;(9, 4);20
197;0.2666666666666667;0.15384615384615385;1.0;0.3333333333333333;0.25;0.5;(21, 5);20
198;0.3404255319148936;0.21621621621621623;0.8;0.4347826086956522;0.38461538461538464;0.5;(9, 2);20
199;0.42424242424242425;0.30434782608695654;0.7;0.5;0.6666666666666666;0.4;(9, 4);20
200;0.4615384615384615;0.375;0.6;0.625;0.8333333333333334;0.5;(21, 5);20
201;0.22580645161290322;0.12727272727272726;1.0;0.358974358974359;0.21875;1.0;(9, 2);20
202;0.2285714285714286;0.14285714285714285;0.5714285714285714;0.7142857142857143;0.7142857142857143;0.7142857142857143;(9, 4);20
203;0.25806451612903225;0.16666666666666666;0.5714285714285714;0.4;0.6666666666666666;0.2857142857142857;(21, 5);20
204;0.17777777777777776;0.0975609756097561;1.0;0.16216216216216214;0.09090909090909091;0.75;(9, 2);20
205;0.1875;0.10714285714285714;0.75;0.17391304347826086;0.10526315789473684;0.5;(9, 4);20
206;0.22222222222222218;0.13043478260869565;0.75;0.10526315789473685;0.06666666666666667;0.25;(21, 5);20
207;0.16091954022988506;0.0875;1.0;0.17948717948717946;0.09859154929577464;1.0;(9, 2);20
208;0.23076923076923078;0.13333333333333333;0.8571428571428571;0.3225806451612903;0.20833333333333334;0.7142857142857143;(9, 4);20
209;0.12903225806451613;0.08333333333333333;0.2857142857142857;0.4;0.2777777777777778;0.7142857142857143;(21, 5);20
210;0.14285714285714288;0.07692307692307693;1.0;0.18867924528301885;0.10638297872340426;0.8333333333333334;(9, 2);20
211;0.21276595744680848;0.12195121951219512;0.8333333333333334;0.20512820512820512;0.12121212121212122;0.6666666666666666;(9, 4);20
212;0.06896551724137931;0.043478260869565216;0.16666666666666666;0.1875;0.11538461538461539;0.5;(21, 5);20
213;0.09375000000000001;0.05084745762711865;0.6;0.1481481481481481;0.08163265306122448;0.8;(9, 2);20
214;0.05128205128205128;0.029411764705882353;0.2;0.13793103448275862;0.08333333333333333;0.4;(9, 4);20
215;0.07407407407407407;0.045454545454545456;0.2;0.23076923076923073;0.14285714285714285;0.6;(21, 5);20
216;0.09523809523809523;0.05042016806722689;0.8571428571428571;0.09876543209876544;0.05405405405405406;0.5714285714285714;(9, 2);20
217;0.12698412698412698;0.07142857142857142;0.5714285714285714;0.10714285714285714;0.061224489795918366;0.42857142857142855;(9, 4);20
218;0.14814814814814814;0.0851063829787234;0.5714285714285714;0.10810810810810811;0.06666666666666667;0.2857142857142857;(21, 5);20
219;0.2758620689655173;0.16161616161616163;0.9411764705882353;0.42553191489361697;0.3333333333333333;0.5882352941176471;(9, 2);20
220;0.3333333333333333;0.23255813953488372;0.5882352941176471;0.17647058823529413;0.17647058823529413;0.17647058823529413;(9, 4);20
221;0.37037037037037035;0.2702702702702703;0.5882352941176471;0.22222222222222224;0.3;0.17647058823529413;(21, 5);20
222;0.0625;0.034482758620689655;0.3333333333333333;0.1;0.05405405405405406;0.6666666666666666;(9, 2);20
223;0.0;0.0;0.0;0.23076923076923078;0.13043478260869565;1.0;(9, 4);20
224;0.0;0.0;0.0;0.3333333333333333;0.2222222222222222;0.6666666666666666;(21, 5);20
225;0.2352941176470588;0.136986301369863;0.8333333333333334;0.25;0.15384615384615385;0.6666666666666666;(9, 2);20
226;0.2222222222222222;0.15151515151515152;0.4166666666666667;0.2564102564102564;0.18518518518518517;0.4166666666666667;(9, 4);20
227;0.2857142857142857;0.21739130434782608;0.4166666666666667;0.25;0.2;0.3333333333333333;(21, 5);20
228;0.19047619047619047;0.10909090909090909;0.75;0.3404255319148936;0.20512820512820512;1.0;(9, 2);20
229;0.1;0.0625;0.25;0.39999999999999997;0.2727272727272727;0.75;(9, 4);20
230;0.12903225806451613;0.08695652173913043;0.25;0.6666666666666665;0.6;0.75;(21, 5);20
231;0.13333333333333333;0.0782608695652174;0.45;0.20588235294117646;0.14583333333333334;0.35;(9, 2);20
232;0.17073170731707316;0.11290322580645161;0.35;0.25641025641025644;0.2631578947368421;0.25;(9, 4);20
233;0.029850746268656716;0.02127659574468085;0.05;0.13953488372093023;0.13043478260869565;0.15;(21, 5);20
234;0.15873015873015872;0.08928571428571429;0.7142857142857143;0.19047619047619044;0.11428571428571428;0.5714285714285714;(9, 2);20
235;0.19354838709677416;0.125;0.42857142857142855;0.39999999999999997;0.375;0.42857142857142855;(9, 4);20
236;0.15384615384615385;0.10526315789473684;0.2857142857142857;0.4;0.6666666666666666;0.2857142857142857;(21, 5);20
237;0.3500000000000001;0.2153846153846154;0.9333333333333333;0.375;0.24489795918367346;0.8;(9, 2);20
238;0.5106382978723405;0.375;0.8;0.42424242424242425;0.3888888888888889;0.4666666666666667;(9, 4);20
239;0.4;0.35;0.4666666666666667;0.42424242424242425;0.3888888888888889;0.4666666666666667;(21, 5);20
240;0.288135593220339;0.17708333333333334;0.7727272727272727;0.29885057471264365;0.2;0.5909090909090909;(9, 2);20
241;0.43243243243243246;0.3076923076923077;0.7272727272727273;0.3773584905660377;0.3225806451612903;0.45454545454545453;(9, 4);20
242;0.3870967741935483;0.3;0.5454545454545454;0.36363636363636365;0.36363636363636365;0.36363636363636365;(21, 5);20
243;0.25882352941176473;0.14864864864864866;1.0;0.21538461538461537;0.12962962962962962;0.6363636363636364;(9, 2);20
244;0.17777777777777776;0.11764705882352941;0.36363636363636365;0.4666666666666667;0.3684210526315789;0.6363636363636364;(9, 4);20
245;0.20833333333333334;0.13513513513513514;0.45454545454545453;0.4615384615384615;0.4;0.5454545454545454;(21, 5);20
246;0.17777777777777778;0.10526315789473684;0.5714285714285714;0.39999999999999997;0.375;0.42857142857142855;(9, 2);20
247;0.25;0.16;0.5714285714285714;0.5217391304347825;0.375;0.8571428571428571;(9, 4);20
248;0.3448275862068965;0.22727272727272727;0.7142857142857143;0.6250000000000001;0.5555555555555556;0.7142857142857143;(21, 5);20
249;0.14084507042253522;0.07575757575757576;1.0;0.30303030303030304;0.17857142857142858;1.0;(9, 2);20
250;0.10810810810810811;0.0625;0.4;0.38095238095238093;0.25;0.8;(9, 4);20
251;0.18181818181818182;0.10714285714285714;0.6;0.5714285714285714;0.4444444444444444;0.8;(21, 5);20
252;0.15;0.08108108108108109;1.0;0.17647058823529413;0.0967741935483871;1.0;(9, 2);20
